ARTID,Y,S
20567,16.42,1.44
20567,16.42,0.73
20578,16.42,1.31
20578,16.42,0.87
20578,16.42,1.32
20591,16.42,2.02
20591,16.42,0.73
20593,16.42,3.27
20593,16.42,3.53
20593,16.42,2.84
20593,16.42,0.24
20593,16.42,0.2
20608,16.42,1.41
20608,16.42,1.49
20608,16.42,1.54
20608,16.42,1.66
20608,16.42,1.5
20608,16.42,1.67
20608,16.42,2.4
20608,16.42,2.72
20608,16.42,2.31
20608,16.42,2.46
20608,16.42,2.38
20608,16.42,2.6
20608,16.42,2.38
20608,16.42,2.1
20608,16.42,2
20608,16.42,2.26
20608,16.42,2.3
20608,16.42,2.38
20608,16.42,1.92
20608,16.42,1.79
20608,16.42,1.71
20608,16.42,1.21
20608,16.42,1.97
20608,16.42,2.35
20608,16.42,0.48
20608,16.42,0.64
20608,16.42,0.88
20608,16.42,0.76
20608,16.42,0.58
20608,16.42,0.36
20608,16.42,0.22
20608,16.42,0.8
20608,16.42,0.06
20608,16.42,0.54
20608,16.42,1.23
20608,16.42,1.42
20608,16.42,0.82
20608,16.42,0.74
20608,16.42,0.63
20608,16.42,0.64
20608,16.42,0.87
20608,16.42,1.06
20608,16.42,1.08
